District,MAPE,MAE,R2
Pithoragarh,0.5151128120933781,9.86298201881434,0.9997416163950997
Almora,0.5206524706555817,9.02865573235966,0.999693782057419
Bageshwar,0.5618793326147845,9.61816733448834,0.9996577813730406
Uttarkashi,0.5750346110053428,10.575947886191695,0.9996159789016201
Tehri Garhwal,0.5801716638059905,10.838678764945275,0.999252335939979
Haridwar,0.5802963957786936,8.827854474400045,0.9996197212853788
Champawat,0.5883940586701052,9.583465018365171,0.9996235590520097
Pauri Garhwal,0.5884589955593243,10.062571913688314,0.9995881488780302
Rudraprayag,0.5956247902663101,11.29294465014266,0.9995695986029958
Nainital,0.6097221396747429,12.386428642317417,0.9994836722187879
Chamoli,0.6715390045841646,15.924633472815392,0.9973296167805008
UdhamSinghNagar,0.718634167945336,10.036053485091083,0.9994237925142843
Dehradun,0.8652405541755978,22.330895525934427,0.9975832003406705
